australia	Austrália	(cl:pron;sing;fem;)/(sing;fem;)
author	autor	(cl:subst;)/
authority	autoridade	(cl:subst;)/(fem;)
authorization	autorização	(cl:subst;)/(fem;)
autism	autismo	(cl:subst;)/(masc;)
auto	automóvel	(cl:subst;)/(masc;)
automatically	automaticamente	(cl:adv;)/
autumn	outono	(cl:subst;)/
available	disponível	(cl:adj;)/
ave.	av.	(cl:subst;abrev;)/(abrev;)
avenue	avenida	(cl:subst;)/(fem;)
average	média	(cl:subst;)/
aviation	aviação	(cl:subst;)/(fem;)
avoid	evitar	(cl:vb;)/
award	prêmio	(cl:subst;)/(masc;)
aware	atento	(cl:adj;)/
away	longe	(cl:adv;)/
baby	bebê	(cl:subst;)/
back	para trás	(cl:adv;)/		costas	(cl:subst;)/(fem;plu;)		atrás	(cl:adv;)/		parte de trás	(cl:subst;)/
back then	então	(cl:adv;)/
background	fundo	(cl:subst;)/(masc;)
backpack	mochila	(cl:subst;)/(fem;)
bacteria	bactéria	(cl:subst;plu;)/(fem;)
bacterial	bacteriano	(cl:adj;)/
bad	ruim	(cl:adj;)/
bag	saco	(cl:subst;)/(masc;)		bolsa	(cl:subst;)/(fem;)
bakery	padaria	(cl:subst;)/(fem;)
balance	equilíbrio	(cl:subst;)/(masc;)
balcony	varanda	(cl:subst;)/(fem;)
ball	bola	(cl:subst;)/(fem;)
band-aid	emplastro	(cl:subst;)/(masc;)
bank	banco	(cl:subst;)/(masc;)
bar	bar	(cl:subst;)/(masc;)		barrar	(cl:vb;)/
base	base	(cl:subst;)/(fem;)
basic	básico	(cl:adj;)/
basis	base	(cl:subst;sing;)/(sing;)
bath	banho	(cl:subst;)/(masc;)
bathe	banhar	(cl:vb;)/
bathroom	banheiro	(cl:subst;)/(masc;)
battery	bateria	(cl:subst;)/(fem;)		pilha	(cl:subst;)/(fem;)
battle	luta	(cl:subst;)/(fem;)
battlefield	campo de batalha	(cl:subst;)/
bay	baía	(cl:subst;)/(fem;)
be	ser	(cl:vb;)/		estar	(cl:vb;)/
be happy	alegrar	(cl:vb;)/
be missing	faltar	(cl:vb;)/
be worth	valer	(cl:vb;)/
beach	praia	(cl:subst;)/(fem;)
bean	fava	(cl:subst;)/(fem;)		feijão	(cl:subst;)/(masc;)
bear	urso	(cl:subst;)/
beautiful	bonito	(cl:adj;)/		belo	(cl:adj;)/
beauty	beleza	(cl:subst;)/(fem;)
because	porque	(cl:conj;)/
because of	por causa de	(cl:conj;)/
become	tornar	(cl:vb;)/(refl;)		tornar-se	(cl:vb;)/
bed	cama	(cl:subst;)/(fem;)
bedding	fundamento	(cl:subst;)/(masc;)
bee	abelha	(cl:subst;)/(fem;)
beef	carne de boi	(cl:subst;)/(fem;)
beer	cerveja	(cl:subst;)/(fem;)
beetle	besouro	(cl:subst;)/(masc;)
before	antes	(cl:prep/adv;)/		antes que	(cl:conj;)/
begin	começar	(cl:vb;)/
beginner	novato	(cl:subst;)/		principiante	(cl:subst;)/
beginning	começo	(cl:subst;)/(masc;)		início	(cl:subst;)/(masc;)
behavior	comportamento	(cl:subst;)/(masc;)
behind	atrás	(cl:prep/adv;)/
being	existência	(cl:subst;)/(fem;)
believe	acreditar	(cl:vb;)/
bell	campainha	(cl:subst;)/(fem;)		sino	(cl:subst;)/(masc;)
belly	ventre	(cl:subst;)/(masc;)		barriga	(cl:subst;)/(fem;)
belong	pertencer	(cl:vb;)/
beloved	querido	(cl:adj;)/
below	abaixo	(cl:adv;)/		abaixo de	(cl:prep;)/
benefit	benefício	(cl:subst;)/(masc;)		beneficiar	(cl:vb;)/		beneficiar	(cl:vb;)/
besides	além disso	(cl:adv;)/
best	melhor	(cl:adj;)/		melhor	(cl:adv;)/
bet	aposta	(cl:subst;)/(fem;)
better	melhor	(cl:adj;)/		melhor	(cl:adv;)/
between	entre	(cl:prep;)/
beyond	além	(cl:adv;)/
bicycle	bicicleta	(cl:subst;)/(fem;)
big	grande	(cl:adj;)/
bilingual	bilíngue	(cl:adj;)/
bill	conta	(cl:subst;)/(fem;)		conta	(cl:subst;)/(fem;)		faturar	(cl:vb;)/
billion	bilhão	(cl:num;plu;)/(plu;)
biology	biologia	(cl:subst;)/(fem;)
bird	pássaro	(cl:subst;)/(masc;)		ave	(cl:subst;)/
birth	nascimento	(cl:subst;)/(masc;)
birthday	aniversário	(cl:subst;)/(masc;)
bit	pedaço	(cl:subst;)/(masc;)
bite	morder	(cl:vb;)/
bitter	amargo	(cl:adj;)/
black	preto	(cl:adj;)/
bladder	bexiga	(cl:subst;)/(fem;)
bleach	branquear	(cl:vb;)/		branqueamento	(cl:subst;)/
bleed	sangrar	(cl:vb;)/
blind	cego	(cl:adj;)/(cl:subst;)
blood	sangue	(cl:subst;)/(masc;)
blue	azul	(cl:adj;)/
board	embarcar	(cl:vb;)/		embarcar	(cl:vb;)/		tábua	(cl:subst;)/
boat	barco	(cl:subst;)/(masc;)
body	corpo	(cl:subst;)/(masc;)
bone	osso	(cl:subst;)/(masc;)
bonus	gratificação	(cl:subst;)/
book	livro	(cl:subst;)/(masc;)		reservar	(cl:vb;)/
border	borda	(cl:subst;)/(fem;)
boring	tedioso	(cl:adj;)/
